Player,Pos,3P,2P,TRB,AST,STL,BLK
Alex Abrines,SG,1.3,0.5,1.5,0.6,0.5,0.2
Steven Adams,C,0,6,9.5,1.6,1.5,1
Bam Adebayo,C,0,3.4,7.3,2.2,0.9,0.8
DeVaughn Akoon-Purcell,SG,0,0.4,0.6,0.9,0.3,0
LaMarcus Aldridge,C,0.1,8.3,9.2,2.4,0.5,1.3
Rawle Alkins,SG,0.3,1,2.6,1.3,0.1,0
Grayson Allen,SG,0.8,0.9,0.6,0.7,0.2,0.2
Jarrett Allen,C,0.1,4.1,8.4,1.4,0.5,1.5
Kadeem Allen,SG,0.9,2.5,2.7,4,0.8,0.2
Ike Anigbogu,C,0,0,1,0.3,0,0.3
Deandre Ayton,C,0,7.2,10.3,1.8,0.9,0.9
Dwayne Bacon,SG,0.9,2,2.1,1.1,0.3,0.1
Ron Baker,SG,0.1,0.2,0.7,1,0.4,0.1
Mohamed Bamba,C,0.4,2,5,0.8,0.3,1.4
Will Barton,SG,1.6,2.7,4.6,2.9,0.4,0.5
Aron Baynes,C,0.4,1.6,4.7,1.1,0.2,0.7
Kent Bazemore,SG,1.4,2.7,3.9,2.3,1.3,0.6
Bradley Beal,SG,2.5,6.8,5,5.5,1.5,0.7
Malik Beasley,SG,2,2.3,2.5,1.2,0.7,0.1
Marco Belinelli,SG,1.9,1.7,2.5,1.7,0.4,0.1
Jordan Bell,C,0,1.5,2.7,1.1,0.3,0.8
DeAndre' Bembry,SG,0.6,2.7,4.4,2.5,1.3,0.5
Dairis Bert?ns,SG,0.8,0.2,0.8,0.8,0.1,0
Khem Birch,C,0,1.8,3.8,0.8,0.4,0.6
Bismack Biyombo,C,0,1.6,4.6,0.6,0.2,0.8
Antonio Blakeney,SG,0.6,2.3,1.9,0.7,0.2,0.2
Bogdan Bogdanovi?,SG,1.9,3.2,3.5,3.8,1,0.2
Andrew Bogut,C,0,1.6,5,1,0.3,0.7
Devin Booker,SG,2.1,7,4.1,6.8,0.9,0.2
Avery Bradley,SG,1.4,2.6,2.8,2.4,0.7,0.3
Tony Bradley,C,0,2.7,5,0.3,0.7,0.7
Ryan Broekhoff,SG,0.9,0.5,1.5,0.5,0.1,0.1
Malcolm Brogdon,SG,1.6,4.3,4.5,3.2,0.7,0.2
MarShon Brooks,SG,0.5,2.1,1.6,0.9,0.3,0.1
Bruce Brown,SG,0.3,1.4,2.5,1.2,0.5,0.5
Jaylen Brown,SG,1.3,3.7,4.2,1.4,0.9,0.4
Sterling Brown,SG,0.9,1.6,3.2,1.4,0.4,0.1
Thomas Bryant,C,0.5,3.8,6.3,1.3,0.3,0.9
Reggie Bullock,SG,2.3,1.5,2.7,2,0.6,0.2
Alec Burks,SG,1,2,3.7,2,0.6,0.3
Deonte Burton,SG,0.3,0.8,0.9,0.3,0.2,0.3
Kentavious Caldwell-Pope,SG,1.8,2.1,2.9,1.3,0.9,0.2
Clint Capela,C,0,7.1,12.7,1.4,0.7,1.5
Wendell Carter,C,0.1,4,7,1.8,0.6,1.3
Willie Cauley-Stein,C,0,5.1,8.4,2.4,1.2,0.6
Tyson Chandler,C,0,1.1,5.6,0.7,0.4,0.4
Ian Clark,SG,1.1,1.4,1.5,1.6,0.4,0.1
Jordan Clarkson,SG,1.8,4.8,3.3,2.4,0.7,0.2
Zach Collins,C,0.5,1.9,4.2,0.9,0.3,0.9
Pat Connaughton,SG,1.1,1.6,4.2,2,0.5,0.4
DeMarcus Cousins,C,0.9,5.1,8.2,3.6,1.3,1.5
Allen Crabbe,SG,2.3,0.9,3.4,1.1,0.5,0.3
Jamal Crawford,SG,1,1.7,1.3,3.6,0.5,0.2
Seth Curry,SG,1.5,1.3,1.6,0.9,0.5,0.2
Troy Daniels,SG,1.5,0.8,1.4,0.5,0.5,0.1
Anthony Davis,C,0.9,8.6,12,3.9,1.6,2.4
Deyonta Davis,C,0,1.7,4,0.6,0.3,0.6
Ed Davis,C,0,2.3,8.6,0.8,0.4,0.4
Tyler Davis,C,0,0,1,0,0,0
Dewayne Dedmon,C,1.3,2.8,7.5,1.4,1.1,1.1
?ngel Delgado,C,0,0.5,2,0,0.5,0
DeMar DeRozan,SG,0.1,8.1,6,6.2,1.1,0.5
Hamidou Diallo,SG,0.1,1.4,1.9,0.3,0.4,0.2
Gorgui Dieng,C,0.3,2.2,4.1,0.9,0.6,0.5
Donte DiVincenzo,SG,0.8,1,2.4,1.1,0.5,0.2
Luka Don?i?,SG,2.3,4.7,7.8,6,1.1,0.3
Tyler Dorsey,SG,0.9,1.3,2.4,1.2,0.3,0
Damyean Dotson,SG,1.7,2.2,3.6,1.8,0.8,0.1
PJ Dozier,SG,0.3,1,2.8,0.8,0.3,0
Andre Drummond,C,0.1,7,15.6,1.4,1.7,1.7
Wayne Ellington,SG,2.6,0.9,2,1.4,1,0.1
Joel Embiid,C,1.2,7.8,13.6,3.7,0.7,1.9
Jacob Evans,SG,0.1,0.5,0.8,0.8,0.2,0.1
Tyreke Evans,SG,1.1,2.6,2.9,2.4,0.8,0.3
Kenneth Faried,C,0.2,4,6.8,0.5,0.5,0.6
Derrick Favors,C,0.2,4.6,7.4,1.2,0.7,1.4
Cristiano Fel?cio,C,0,1.6,3.6,0.6,0.2,0.1
Terrance Ferguson,SG,1.4,1.1,1.9,1,0.5,0.2
